server_time,timestamp,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2025-05-29 06:13:56.680,843489,walk,-0.4033,-1.3208,1.9429,-10.5591,-2.5635,-16.1133
2025-05-29 06:13:56.730,843539,walk,-0.0962,-0.1748,1.8726,3.7842,8.7891,-52.2461
2025-05-29 06:13:56.780,843589,walk,-0.0547,-0.1201,1.4375,-7.0801,2.0142,-65.3076
2025-05-29 06:13:56.830,843639,walk,0.123,0.1094,0.48,-13.7329,0.2441,-68.6035
2025-05-29 06:13:56.880,843689,walk,0.0498,-0.0352,0.1821,6.958,-1.3428,-63.3545
2025-05-29 06:13:56.930,843739,walk,-0.0581,0.0176,0.7866,2.5024,4.0894,-70.2515
2025-05-29 06:13:56.980,843789,walk,-0.0024,-0.0449,2.0576,-1.9531,-15.7471,-76.0498
2025-05-29 06:13:57.030,843839,walk,-0.0898,-0.4102,2.0835,-0.9155,10.1929,-81.7871
2025-05-29 06:13:57.079,843889,walk,-0.0889,0.1089,1.4692,-4.4556,1.6479,-91.6748
2025-05-29 06:13:57.129,843939,walk,0.1069,1.2305,0.2046,-29.0527,0.6714,-91.1865
2025-05-29 06:13:57.179,843989,walk,-0.0664,0.3457,0.0015,22.8271,-4.8828,-80.5664
2025-05-29 06:13:57.231,844039,walk,-0.042,0.0996,0.5576,2.7466,-0.4272,-77.7588
2025-05-29 06:13:57.280,844089,walk,-0.0952,-0.1143,1.7925,7.2021,-28.6865,-80.6885
2025-05-29 06:13:57.331,844139,walk,-0.1099,-0.0527,1.6948,5.9814,4.5166,-86.6699
2025-05-29 06:13:57.379,844189,walk,-0.0649,0.0674,1.1875,-5.3101,-1.2817,-92.8345
2025-05-29 06:13:57.433,844239,walk,0.1904,0.002,0.231,-21.7896,5.0049,-86.5479
2025-05-29 06:13:57.479,844289,walk,0.0444,-0.0498,0.1787,24.5361,-1.5259,-76.5991
2025-05-29 06:13:57.529,844339,walk,-0.0864,0.0537,0.8228,6.0425,2.6855,-78.2471
2025-05-29 06:13:57.579,844389,walk,-0.0112,0.1362,1.5791,15.8691,-36.1938,-69.3359
2025-05-29 06:13:57.630,844439,walk,-0.1304,-0.1655,1.6587,3.7231,-0.5493,-76.5381
2025-05-29 06:13:57.679,844489,walk,-0.0898,0.0767,1.1152,-9.3384,-3.3569,-85.8154
2025-05-29 06:13:57.730,844539,walk,0.061,-0.3511,0.3735,-17.5781,6.5918,-77.5757
2025-05-29 06:13:57.779,844589,walk,0.0205,0.0605,0.4648,14.1602,6.4087,-68.7256
2025-05-29 06:13:57.832,844639,walk,-0.0298,0.3486,0.9785,3.479,-1.5259,-51.0864
2025-05-29 06:13:57.879,844689,walk,-0.2622,0.6372,1.7671,13.6719,-25.2075,-19.9585
2025-05-29 06:13:57.929,844739,walk,0.0176,-0.187,1.374,1.0986,-2.3804,-15.8691
2025-05-29 06:13:57.979,844789,walk,-0.0317,0.1309,1.3159,-7.9956,-2.2583,-17.7002
2025-05-29 06:13:58.029,844839,walk,-0.0688,-0.3975,0.6826,-10.437,3.2349,-12.3901
2025-05-29 06:13:58.079,844889,walk,0.0015,0.0444,0.957,1.8921,2.6245,1.77
2025-05-29 06:13:58.129,844939,walk,0.0889,0.0015,0.7256,-2.9297,0.4883,6.7139
2025-05-29 06:13:58.180,844989,walk,-0.1074,0.376,1.8501,-9.2163,-11.5967,-3.2959
2025-05-29 06:13:58.232,845039,walk,-0.0039,0.0952,1.4731,-2.7466,5.249,-8.8501
2025-05-29 06:13:58.283,845089,walk,-0.0132,0.0171,1.4375,-6.7139,1.9531,-6.8359
2025-05-29 06:13:58.329,845139,walk,0.1074,-0.5645,0.7881,-17.9443,4.2114,-4.2114
2025-05-29 06:13:58.381,845189,walk,0.0371,-0.0947,0.958,-2.0752,0.8545,4.1504
2025-05-29 06:13:58.429,845239,walk,0.1055,0.0029,0.5635,-6.5308,-4.6997,6.2866
2025-05-29 06:13:58.480,845289,walk,-0.0278,0.0479,1.5259,-6.3477,-4.4556,-1.0986
2025-05-29 06:13:58.530,845339,walk,0.0498,0.0186,1.5469,-6.5918,7.3853,-6.5918
